UnitsID,UnitsName,UnitsType,UnitsAbbreviation
40,million gallons per day                                                                                                                                                                                                                                        ,Flow                                                                                                                                                                                                                                                           ,MGD                                                                                                                                                                                                                                                            
41,dyne                                                                                                                                                                                                                                                           ,Force                                                                                                                                                                                                                                                          ,dyn                                                                                                                                                                                                                                                            
42,kilogram force                                                                                                                                                                                                                                                 ,Force                                                                                                                                                                                                                                                          ,kgf                                                                                                                                                                                                                                                            
43,newton                                                                                                                                                                                                                                                         ,Force                                                                                                                                                                                                                                                          ,N                                                                                                                                                                                                                                                              
44,pound force                                                                                                                                                                                                                                                    ,Force                                                                                                                                                                                                                                                          ,lbf                                                                                                                                                                                                                                                            
45,kilo pound force                                                                                                                                                                                                                                               ,Force                                                                                                                                                                                                                                                          ,kip                                                                                                                                                                                                                                                            
46,ounce force                                                                                                                                                                                                                                                    ,Force                                                                                                                                                                                                                                                          ,ozf                                                                                                                                                                                                                                                            
47,centimeter                                                                                                                                                                                                                                                     ,Length                                                                                                                                                                                                                                                         ,cm                                                                                                                                                                                                                                                             
48,international foot                                                                                                                                                                                                                                             ,Length                                                                                                                                                                                                                                                         ,ft                                                                                                                                                                                                                                                             
49,international inch                                                                                                                                                                                                                                             ,Length                                                                                                                                                                                                                                                         ,in                                                                                                                                                                                                                                                             
50,international yard                                                                                                                                                                                                                                             ,Length                                                                                                                                                                                                                                                         ,yd                                                                                                                                                                                                                                                             
51,kilometer                                                                                                                                                                                                                                                      ,Length                                                                                                                                                                                                                                                         ,km                                                                                                                                                                                                                                                             
52,meter                                                                                                                                                                                                                                                          ,Length                                                                                                                                                                                                                                                         ,m                                                                                                                                                                                                                                                              
53,international mile                                                                                                                                                                                                                                             ,Length                                                                                                                                                                                                                                                         ,mi                                                                                                                                                                                                                                                             
54,millimeter                                                                                                                                                                                                                                                     ,Length                                                                                                                                                                                                                                                         ,mm                                                                                                                                                                                                                                                             
55,micron                                                                                                                                                                                                                                                         ,Length                                                                                                                                                                                                                                                         ,um                                                                                                                                                                                                                                                             
56,angstrom                                                                                                                                                                                                                                                       ,Length                                                                                                                                                                                                                                                         ,Å                                                                                                                                                                                                                                                              
57,femtometer                                                                                                                                                                                                                                                     ,Length                                                                                                                                                                                                                                                         ,fm                                                                                                                                                                                                                                                             
58,nautical mile                                                                                                                                                                                                                                                  ,Length                                                                                                                                                                                                                                                         ,nmi                                                                                                                                                                                                                                                            
59,lumen                                                                                                                                                                                                                                                          ,Light                                                                                                                                                                                                                                                          ,lm                                                                                                                                                                                                                                                             
